inventory_id,product_id,warehouse_id,stock_quantity,reorder_level
I0384,P0128,W004,258,37
I0385,P0037,W004,507,21
I0386,P0441,W004,782,70
I0387,P0157,W001,453,99
I0388,P0302,W003,500,65
I0389,P0129,W003,339,69
I0390,P0498,W001,410,57
I0391,P0448,W005,761,75
I0392,P0438,W001,546,43
I0393,P0475,W002,774,35
I0394,P0236,W005,161,32
I0395,P0161,W004,438,74
I0396,P0182,W002,406,85
I0397,P0361,W003,105,79
I0398,P0316,W004,313,58
I0399,P0425,W005,778,68
I0400,P0100,W003,752,40
I0401,P0419,W001,279,43
I0402,P0346,W004,593,84
I0403,P0223,W001,915,65
I0404,P0419,W004,319,56
I0405,P0380,W001,517,40
I0406,P0257,W004,504,45
I0407,P0305,W003,400,45
I0408,P0470,W001,541,44
I0409,P0049,W005,871,79
I0410,P0344,W002,115,50
I0411,P0408,W005,102,57
I0412,P0148,W004,886,74
I0413,P0411,W004,278,42
I0414,P0038,W005,66,87
I0415,P0325,W004,936,60
I0416,P0386,W004,489,84
I0417,P0468,W004,243,52
I0418,P0269,W001,592,83
I0419,P0099,W002,860,73
I0420,P0395,W003,867,93
I0421,P0107,W005,652,52
I0422,P0366,W003,437,95
I0423,P0268,W001,29,79
I0424,P0388,W005,199,24
I0425,P0180,W004,94,94
I0426,P0320,W003,399,91
I0427,P0198,W003,382,59
I0428,P0493,W004,672,51
I0429,P0097,W005,293,41
I0430,P0158,W003,441,95
I0431,P0210,W003,282,43
I0432,P0477,W002,863,91
I0433,P0278,W003,283,78
I0434,P0494,W004,658,95
I0435,P0219,W003,536,73
I0436,P0247,W003,754,91
I0437,P0452,W001,460,68
I0438,P0252,W004,869,38
I0439,P0281,W004,644,64
I0440,P0484,W004,192,68
I0441,P0388,W001,228,91
I0442,P0417,W005,528,38
I0443,P0453,W005,731,26
I0444,P0327,W005,868,94
I0445,P0430,W001,106,69
I0446,P0248,W004,617,71
I0447,P0007,W003,211,67
I0448,P0499,W001,762,26
I0449,P0045,W001,961,76
I0450,P0402,W003,336,59
I0451,P0128,W003,476,61
I0452,P0337,W002,636,51
I0453,P0221,W003,761,82
I0454,P0234,W002,312,89
I0455,P0262,W002,56,93
I0456,P0133,W003,467,56
I0457,P0437,W005,894,57
I0458,P0292,W004,270,53
I0459,P0445,W002,452,80
I0460,P0286,W002,29,30
I0461,P0267,W004,45,99
I0462,P0486,W002,322,100
I0463,P0356,W003,883,81
I0464,P0243,W003,135,42
I0465,P0033,W005,92,25
I0466,P0348,W002,928,65
I0467,P0487,W003,129,32
I0468,P0345,W002,300,62
I0469,P0323,W003,322,76
I0470,P0198,W005,487,32
I0471,P0403,W001,700,40
I0472,P0180,W002,384,25
I0473,P0366,W002,81,38
I0474,P0333,W005,380,68
I0475,P0437,W005,423,46
I0476,P0059,W003,374,49
I0477,P0058,W005,444,39
I0478,P0296,W005,387,71
I0479,P0062,W003,667,87
I0480,P0182,W004,85,47
I0481,P0399,W005,857,98
I0482,P0377,W005,897,33
I0483,P0210,W002,739,38
I0484,P0100,W001,756,22
I0485,P0024,W003,879,95
I0486,P0030,W005,556,43
I0487,P0190,W002,507,88
I0488,P0322,W004,114,81
I0489,P0078,W005,220,68
I0490,P0253,W002,888,37
I0491,P0136,W004,427,100
I0492,P0483,W002,668,79
I0493,P0202,W004,164,28
I0494,P0139,W005,56,29
I0495,P0489,W001,482,68
I0496,P0259,W002,938,51
I0497,P0413,W002,938,62
I0498,P0357,W003,409,61
I0499,P0084,W005,15,40
I0500,P0022,W001,919,39
I0501,P0252,W003,543,66
I0502,P0052,W004,957,59
I0503,P0386,W002,649,82
I0504,P0198,W004,253,53
I0505,P0436,W005,569,67
I0506,P0334,W001,759,45
I0507,P0231,W004,672,54
I0508,P0367,W005,737,44
I0509,P0392,W004,791,81
I0510,P0366,W003,508,34
I0511,P0330,W003,549,52
I0512,P0286,W005,736,70
I0513,P0162,W001,488,71
I0514,P0146,W003,616,79
I0515,P0296,W003,95,82
I0516,P0311,W005,453,50
I0517,P0074,W002,593,79
I0518,P0171,W001,259,30
I0519,P0307,W005,681,61
I0520,P0086,W004,79,28
I0521,P0321,W001,931,21
I0522,P0309,W002,854,69
I0523,P0461,W003,704,40
I0524,P0354,W001,796,75
I0525,P0156,W004,135,100
I0526,P0255,W002,392,54
I0527,P0101,W004,165,28
I0528,P0282,W004,958,68
I0529,P0424,W004,170,29
I0530,P0432,W005,467,95
I0531,P0323,W002,756,66
I0532,P0149,W004,997,80
I0533,P0324,W005,240,94
I0534,P0182,W001,521,38
I0535,P0107,W002,886,27
I0536,P0351,W005,897,65
I0537,P0282,W003,322,100
I0538,P0334,W004,578,82
I0539,P0009,W001,436,31
I0540,P0137,W001,320,38
I0541,P0195,W005,661,56
I0542,P0432,W003,298,37
I0543,P0199,W002,437,68
I0544,P0200,W003,257,63
I0545,P0320,W003,244,54
I0546,P0025,W002,255,24
I0547,P0224,W004,561,25
I0548,P0029,W003,578,21
I0549,P0305,W004,753,89
I0550,P0246,W005,463,99
I0551,P0082,W005,29,67
I0552,P0004,W001,60,50
I0553,P0157,W001,542,84
I0554,P0062,W005,490,21
I0555,P0261,W001,292,76
I0556,P0247,W002,965,74
I0557,P0175,W001,152,38
I0558,P0116,W004,898,43
I0559,P0344,W005,814,29
I0560,P0240,W004,94,36
I0561,P0157,W001,768,24
I0562,P0079,W001,929,78
I0563,P0150,W001,208,86
I0564,P0334,W005,430,36
I0565,P0074,W004,911,86
I0566,P0058,W005,85,47
I0567,P0405,W002,407,76
I0568,P0168,W002,333,65
I0569,P0110,W003,317,95
I0570,P0428,W005,203,88
I0571,P0251,W001,751,41
I0572,P0093,W004,841,36
I0573,P0335,W005,775,82
I0574,P0206,W003,364,22
I0575,P0103,W001,722,42
I0576,P0385,W004,986,98
I0577,P0297,W003,865,91
I0578,P0450,W001,834,32
I0579,P0126,W005,757,82
I0580,P0354,W004,938,47
I0581,P0092,W005,429,38
I0582,P0059,W001,634,71
I0583,P0284,W002,700,68
I0584,P0328,W002,369,80
I0585,P0299,W001,571,33
I0586,P0047,W004,905,96
I0587,P0018,W004,475,76
I0588,P0186,W005,929,82
I0589,P0437,W005,135,50
I0590,P0060,W001,485,41
I0591,P0365,W001,202,78
I0592,P0040,W005,620,39
I0593,P0001,W004,92,68
I0594,P0249,W003,507,70
I0595,P0445,W004,903,20
I0596,P0111,W002,915,86
I0597,P0492,W005,762,60
I0598,P0324,W005,739,21
I0599,P0202,W002,982,88
I0600,P0002,W003,988,93
I0601,P0229,W003,687,95
I0602,P0500,W003,479,93
I0603,P0231,W004,466,29
I0604,P0481,W002,139,98
I0605,P0303,W002,809,25
I0606,P0412,W002,965,68
I0607,P0489,W001,414,71
I0608,P0024,W002,248,54
I0609,P0500,W003,799,43
I0610,P0439,W001,687,81
I0611,P0309,W004,216,55
I0612,P0274,W005,897,92
I0613,P0023,W001,760,63
I0614,P0397,W001,195,31
I0615,P0385,W004,466,77
I0616,P0298,W002,158,61
I0617,P0313,W005,686,46
I0618,P0053,W005,17,74
I0619,P0234,W003,864,28
I0620,P0158,W004,402,89
I0621,P0457,W001,832,99
I0622,P0017,W002,627,70
I0623,P0200,W002,296,45
I0624,P0487,W005,516,66
I0625,P0453,W003,205,96
I0626,P0455,W004,537,96
I0627,P0388,W001,449,58
I0628,P0431,W004,893,66
I0629,P0398,W001,911,76
I0630,P0414,W005,565,98
I0631,P0178,W002,854,60
I0632,P0217,W002,151,50
I0633,P0258,W001,535,58
I0634,P0362,W004,708,23
I0635,P0381,W005,978,73
I0636,P0058,W005,35,34
I0637,P0352,W005,141,32
I0638,P0165,W003,504,58
I0639,P0449,W001,900,21
I0640,P0040,W001,68,52
I0641,P0254,W005,93,84
I0642,P0472,W002,381,33
I0643,P0454,W005,976,55
I0644,P0044,W002,605,39
I0645,P0298,W004,329,83
I0646,P0395,W002,991,69
I0647,P0440,W003,292,81
I0648,P0373,W002,451,72
I0649,P0036,W001,317,98
I0650,P0008,W004,833,32
I0651,P0167,W001,644,29
I0652,P0454,W003,158,80
I0653,P0072,W002,68,25
I0654,P0148,W001,730,42
I0655,P0035,W003,379,74
I0656,P0069,W003,806,61
I0657,P0394,W002,690,90
I0658,P0173,W004,847,60
I0659,P0206,W002,841,90
I0660,P0402,W005,586,86
I0661,P0394,W002,957,97
I0662,P0023,W002,981,98
I0663,P0113,W001,721,84
I0664,P0186,W002,585,41
I0665,P0054,W002,398,30
I0666,P0424,W003,168,49
I0667,P0486,W004,872,49
I0668,P0131,W001,548,53
I0669,P0116,W001,531,36
I0670,P0226,W004,561,39
I0671,P0085,W002,590,59
I0672,P0178,W004,398,39
I0673,P0108,W004,69,81
I0674,P0046,W003,910,20
I0675,P0305,W004,600,20
I0676,P0280,W002,185,71
I0677,P0135,W004,95,56
I0678,P0120,W002,491,24
I0679,P0011,W001,249,77
I0680,P0261,W001,77,95
I0681,P0409,W005,476,72
I0682,P0058,W005,557,79
I0683,P0358,W001,67,92
I0684,P0186,W001,403,29
I0685,P0145,W003,990,21
I0686,P0275,W001,866,22
I0687,P0038,W005,575,44
I0688,P0161,W005,520,72
I0689,P0246,W005,429,92
I0690,P0155,W003,268,63
I0691,P0187,W001,443,54
I0692,P0479,W003,446,33
I0693,P0120,W005,523,71
I0694,P0206,W002,417,94
I0695,P0242,W003,805,74
I0696,P0132,W003,951,31
I0697,P0466,W004,164,25
I0698,P0144,W005,425,51
I0699,P0413,W002,491,84
I0700,P0214,W004,926,36
I0701,P0135,W002,398,75
I0702,P0245,W003,756,60
I0703,P0217,W002,17,27
I0704,P0052,W004,561,100
I0705,P0138,W005,150,67
I0706,P0133,W003,417,52
I0707,P0445,W001,86,68
I0708,P0228,W002,939,26
I0709,P0246,W003,429,37
I0710,P0104,W002,995,30
I0711,P0271,W004,52,57
I0712,P0364,W004,224,97
I0713,P0474,W005,843,63
I0714,P0431,W003,166,75
I0715,P0204,W001,962,55
I0716,P0321,W004,501,97
I0717,P0420,W004,23,59
I0718,P0437,W003,711,86
I0719,P0047,W004,198,61
I0720,P0299,W001,497,83
I0721,P0193,W003,593,92
I0722,P0360,W005,120,29
I0723,P0061,W001,693,48
I0724,P0412,W002,860,42
I0725,P0343,W001,513,76
I0726,P0005,W004,810,94
I0727,P0042,W002,933,85
I0728,P0221,W001,590,45
I0729,P0466,W001,620,65
I0730,P0093,W004,113,40
I0731,P0265,W005,787,89
I0732,P0112,W003,443,97
I0733,P0159,W005,18,65
I0734,P0469,W005,572,27
I0735,P0156,W003,878,35
I0736,P0245,W002,557,98
I0737,P0147,W001,454,71
I0738,P0134,W005,140,72
I0739,P0321,W004,42,88
I0740,P0409,W005,417,54
I0741,P0031,W003,582,22
I0742,P0034,W004,785,47
I0743,P0302,W002,508,29
I0744,P0487,W004,297,88
I0745,P0480,W004,674,82
I0746,P0264,W001,13,93
I0747,P0190,W002,578,23
I0748,P0466,W003,378,26
I0749,P0229,W004,547,34
I0750,P0290,W004,546,56
I0751,P0128,W002,255,80
I0752,P0042,W004,939,95
I0753,P0040,W004,678,85
I0754,P0109,W003,65,67
I0755,P0055,W002,24,77
I0756,P0129,W004,646,53
I0757,P0181,W004,672,70
I0758,P0184,W002,642,68
I0759,P0333,W005,890,60
I0760,P0279,W003,787,82
I0761,P0339,W004,64,31
I0762,P0168,W004,167,53
I0763,P0318,W002,707,33
I0764,P0364,W003,713,57
I0765,P0030,W002,161,47
I0766,P0169,W005,177,98
I0767,P0330,W004,681,69
I0768,P0065,W005,377,70
I0769,P0434,W002,20,32
I0770,P0235,W005,25,31
I0771,P0074,W005,871,83
I0772,P0276,W001,730,100
I0773,P0026,W004,965,67
I0774,P0336,W003,764,64
I0775,P0075,W005,745,42
I0776,P0413,W004,93,48
I0777,P0425,W003,270,63
I0778,P0433,W001,468,66
I0779,P0296,W001,461,58
I0780,P0415,W002,117,25
I0781,P0264,W004,448,90
I0782,P0238,W001,25,88
I0783,P0306,W004,127,51
I0784,P0120,W003,537,38
I0785,P0035,W004,202,45
I0786,P0023,W005,745,76
I0787,P0195,W005,641,66
I0788,P0230,W005,410,50
I0789,P0151,W001,703,92
I0790,P0322,W004,571,55
I0791,P0425,W001,637,87
I0792,P0399,W002,104,72
I0793,P0334,W004,663,99
I0794,P0415,W001,876,76
I0795,P0371,W001,124,53
I0796,P0223,W005,535,80
I0797,P0147,W001,525,46
I0798,P0363,W003,162,85
I0799,P0035,W003,470,84
I0800,P0231,W004,102,91
I0801,P0452,W005,389,57
I0802,P0396,W005,929,96
I0803,P0452,W005,512,57
I0804,P0073,W005,677,73
I0805,P0448,W005,21,81
I0806,P0485,W001,724,64
I0807,P0090,W004,420,31
I0808,P0035,W003,160,58
I0809,P0107,W005,492,81
I0810,P0390,W005,753,89
I0811,P0019,W003,432,47
I0812,P0137,W001,713,20
I0813,P0474,W001,407,28
I0814,P0074,W004,890,59
I0815,P0253,W001,422,24
I0816,P0483,W001,978,30
I0817,P0064,W001,485,32
I0818,P0291,W001,826,54
I0819,P0333,W003,362,78
I0820,P0377,W003,765,81
I0821,P0487,W002,228,32
I0822,P0482,W001,492,79
I0823,P0115,W002,152,69
I0824,P0162,W004,981,32
I0825,P0067,W005,117,79
I0826,P0209,W004,435,37
I0827,P0325,W002,540,51
I0828,P0163,W005,192,54
I0829,P0413,W002,699,27
I0830,P0456,W001,203,68
I0831,P0207,W004,409,68
I0832,P0315,W002,610,69
I0833,P0499,W005,231,73
I0834,P0106,W002,276,25
I0835,P0431,W003,705,58
I0836,P0173,W003,804,45
I0837,P0485,W005,567,94
I0838,P0388,W003,620,37
I0839,P0022,W003,130,30
I0840,P0036,W004,202,87
I0841,P0127,W005,289,45
I0842,P0317,W005,869,48
I0843,P0452,W004,670,42
I0844,P0217,W003,530,24
I0845,P0485,W002,173,43
I0846,P0298,W001,321,62
I0847,P0484,W003,378,76
I0848,P0333,W002,440,69
I0849,P0296,W002,153,61
I0850,P0209,W004,155,61
I0851,P0007,W005,20,100
I0852,P0494,W005,304,83
I0853,P0118,W005,393,92
I0854,P0035,W005,807,44
I0855,P0173,W003,858,41
I0856,P0417,W004,393,32
I0857,P0430,W003,564,90
I0858,P0297,W001,307,69
I0859,P0425,W005,939,96
I0860,P0347,W003,561,77
I0861,P0324,W001,227,39
I0862,P0481,W003,29,88
I0863,P0231,W001,824,21
I0864,P0472,W002,186,34
I0865,P0454,W002,886,56
I0866,P0039,W002,442,67
I0867,P0274,W001,118,78
I0868,P0077,W003,16,57
I0869,P0016,W001,402,54
I0870,P0448,W004,288,84
I0871,P0254,W001,589,56
I0872,P0201,W004,551,59
I0873,P0062,W005,102,51
I0874,P0173,W004,653,51
I0875,P0019,W002,206,93
I0876,P0224,W002,683,68
I0877,P0127,W003,290,98
I0878,P0421,W002,415,81
I0879,P0431,W002,580,84
I0880,P0095,W002,936,76
I0881,P0018,W004,756,68
I0882,P0325,W004,704,57
I0883,P0291,W002,394,26
I0884,P0204,W004,14,59
I0885,P0360,W004,495,65
I0886,P0033,W001,534,66
I0887,P0220,W002,603,78
I0888,P0163,W005,548,97
I0889,P0189,W003,501,25
I0890,P0011,W003,911,30
I0891,P0378,W003,814,79
I0892,P0255,W001,805,58
I0893,P0370,W004,168,52
I0894,P0373,W003,499,22
I0895,P0390,W004,730,44
I0896,P0013,W004,87,51
I0897,P0093,W005,23,32
I0898,P0286,W003,281,78
I0899,P0391,W004,872,39
I0900,P0134,W004,640,78
I0901,P0024,W001,899,52
I0902,P0270,W002,277,81
I0903,P0279,W002,565,21
I0904,P0440,W002,21,43
I0905,P0111,W001,202,90
I0906,P0056,W003,596,87
I0907,P0253,W004,62,65
I0908,P0235,W005,765,56
I0909,P0428,W001,656,57
I0910,P0083,W001,828,68
I0911,P0044,W002,103,54
I0912,P0066,W001,849,65
I0913,P0453,W004,513,57
I0914,P0262,W001,590,60
I0915,P0363,W001,571,73
I0916,P0373,W002,411,74
I0917,P0211,W004,364,40
I0918,P0344,W002,274,86
I0919,P0268,W001,946,30
I0920,P0407,W005,749,66
I0921,P0494,W001,611,38
I0922,P0372,W005,744,43
I0923,P0334,W002,20,97
I0924,P0189,W005,82,36
I0925,P0415,W004,351,72
I0926,P0111,W002,73,74
I0927,P0031,W004,141,30
I0928,P0295,W003,70,54
I0929,P0249,W005,664,57
