order_id,order_date,customer_id,product_id,warehouse_id,quantity,sales_amount,discount,delivery_days
O00035,2025-11-27,C2131,P0150,W004,10,28050.28,0.13,1
O00036,2025-07-04,C0663,P0102,W002,6,23072.45,0.22,13
O00037,2025-04-04,C2792,P0085,W001,2,8523.41,0.01,7
O00038,2024-06-21,C3621,P0168,W005,5,17268.88,0.2,13
O00039,2024-11-28,C1527,P0128,W002,5,4292.34,0.05,9
O00040,2024-10-10,C0801,P0121,W005,5,24525.28,0.02,14
O00041,2024-06-12,C4301,P0385,W004,8,25640.9,0.03,1
O00042,2024-10-18,C3937,P0401,W004,7,52593.61,0.04,14
O00043,2026-02-16,C4380,P0359,W003,6,30869.05,0.01,10
O00044,2026-02-03,C1807,P0222,W003,6,2835.8,0.22,10
O00045,2025-12-13,C4582,P0159,W005,10,50566.43,0.01,13
O00046,2024-06-13,C1625,P0437,W004,6,11354.8,0.05,11
O00047,2024-10-21,C3907,P0182,W001,4,7571.26,0.19,2
O00048,2026-03-09,C4626,P0471,W002,6,43923.13,0.02,11
O00049,2025-01-15,C2224,P0260,W004,1,2665.75,0.14,3
O00050,2024-07-23,C2661,P0112,W005,6,37816.18,0.2,4
O00051,2024-12-10,C1773,P0386,W003,7,23618.08,0.16,5
O00052,2025-06-25,C1965,P0059,W003,2,3961.59,0.14,8
O00053,2025-10-04,C1577,P0499,W004,6,15404.15,0.1,9
O00054,2026-02-01,C3195,P0460,W003,7,45488.86,0.03,11
O00055,2025-11-14,C4564,P0140,W002,6,4896.52,0.08,6
O00056,2024-10-07,C1106,P0415,W004,9,25177.76,0.18,11
O00057,2025-03-14,C4211,P0210,W001,7,30769.45,0.07,15
O00058,2025-06-15,C1231,P0373,W003,6,18339.02,0.06,13
O00059,2026-03-09,C2962,P0439,W004,9,13998.12,0.12,2
O00060,2025-02-23,C0419,P0119,W005,5,2319.89,0.17,7
O00061,2024-09-22,C4887,P0132,W002,5,25238.81,0.16,12
O00062,2025-10-04,C3774,P0334,W001,3,12300.93,0.16,9
O00063,2025-06-17,C2555,P0352,W003,8,9999.93,0.05,15
O00064,2026-01-11,C2735,P0137,W003,3,7808.33,0.25,15
O00065,2024-10-15,C2110,P0193,W001,5,27506.54,0.14,1
O00066,2026-05-28,C1317,P0256,W001,4,11109.42,0.17,3
O00067,2025-12-11,C0460,P0314,W003,6,34367.9,0.06,14
O00068,2025-01-13,C1564,P0469,W005,2,6377.88,0.06,10
O00069,2024-11-11,C4755,P0351,W002,3,6813.5,0.19,12
O00070,2026-05-16,C0981,P0413,W002,9,34732.94,0.13,8
O00071,2026-05-19,C4757,P0046,W005,7,44573.32,0.1,4
O00072,2024-06-26,C0106,P0135,W001,6,3645.05,0.12,7
O00073,2025-04-11,C2321,P0133,W003,3,903.24,0.15,9
O00074,2026-04-24,C1153,P0291,W002,5,29609.38,0.04,9
O00075,2025-12-01,C0707,P0392,W005,3,10086.27,0.15,3
O00076,2025-06-30,C2795,P0387,W005,7,31220.67,0.12,15
O00077,2025-09-25,C3294,P0327,W003,7,30744.78,0.2,10
O00078,2024-12-17,C2030,P0346,W001,6,4009.74,0.24,5
O00079,2025-06-09,C2865,P0469,W005,2,5156.58,0.24,4
O00080,2025-08-11,C2469,P0415,W002,1,3206.92,0.06,11
O00081,2026-04-09,C0858,P0387,W002,4,16623.99,0.18,6
O00082,2024-10-01,C0919,P0319,W004,3,15508.94,0.12,13
O00083,2025-08-28,C3848,P0433,W003,2,7861.87,0.01,6
O00084,2026-05-23,C4872,P0249,W004,6,25278.37,0.12,9
O00085,2026-05-27,C2086,P0224,W004,9,32068.93,0.09,8
O00086,2025-12-18,C2193,P0288,W003,7,12434.39,0.22,8
O00087,2024-09-07,C2632,P0103,W002,8,30703.09,0.24,3
O00088,2025-09-20,C0719,P0182,W003,1,1916.18,0.18,5
O00089,2025-08-13,C2660,P0483,W003,5,22855.76,0.05,6
O00090,2026-01-18,C3450,P0206,W003,7,23172.24,0.0,9
O00091,2025-10-07,C3779,P0034,W003,10,53398.09,0.08,13
O00092,2025-12-22,C1712,P0069,W004,6,7846.19,0.12,8
O00093,2025-03-09,C0551,P0215,W003,9,50439.99,0.02,13
O00094,2026-01-05,C4572,P0266,W001,5,6366.05,0.01,4
O00095,2025-09-14,C2119,P0088,W005,3,14851.14,0.19,10
O00096,2025-11-27,C0386,P0386,W001,2,6346.35,0.21,2
O00097,2024-07-26,C1845,P0212,W001,9,24363.85,0.04,5
O00098,2026-03-31,C2439,P0311,W001,9,35902.81,0.22,8
O00099,2025-08-02,C2900,P0473,W004,1,4522.11,0.21,3
O00100,2026-02-05,C1252,P0193,W004,7,42986.97,0.04,8
O00101,2026-04-03,C1234,P0298,W002,7,38460.41,0.24,10
O00102,2025-06-20,C2151,P0042,W005,3,7602.28,0.08,14
O00103,2024-07-04,C0158,P0043,W004,7,8806.67,0.2,14
O00104,2025-01-17,C1578,P0212,W001,1,2453.3,0.13,8
O00105,2026-03-29,C2377,P0160,W001,8,27283.92,0.01,15
O00106,2026-01-25,C0743,P0331,W001,8,47319.8,0.21,11
O00107,2024-10-08,C2828,P0406,W002,6,44711.59,0.07,8
O00108,2025-06-24,C1281,P0463,W003,2,6459.89,0.08,13
O00109,2026-03-09,C4055,P0309,W003,1,4749.75,0.02,12
O00110,2025-04-11,C1801,P0212,W003,2,4229.84,0.25,5
O00111,2025-08-07,C3734,P0016,W001,2,4829.92,0.24,2
O00112,2024-08-24,C3925,P0420,W004,8,4896.5,0.14,6
O00113,2024-07-24,C4324,P0022,W003,10,46247.27,0.14,1
O00114,2024-07-14,C4744,P0400,W002,4,12619.92,0.11,9
O00115,2025-02-14,C4747,P0081,W002,4,3554.05,0.21,12
O00116,2025-05-18,C4625,P0174,W004,3,5753.82,0.06,5
O00117,2025-07-30,C4923,P0009,W003,1,4005.61,0.1,11
O00118,2024-12-21,C0346,P0197,W004,9,18900.79,0.22,3
O00119,2025-07-17,C2729,P0245,W004,10,18444.59,0.17,14
O00120,2026-05-15,C0068,P0153,W005,4,11905.17,0.22,9
O00121,2025-05-17,C0619,P0464,W004,9,33280.33,0.03,4
O00122,2024-07-10,C0883,P0112,W003,6,44906.71,0.05,8
O00123,2024-08-10,C4622,P0100,W005,5,3697.28,0.22,13
O00124,2025-02-13,C1354,P0489,W004,7,34866.22,0.08,9
O00125,2025-07-27,C3492,P0258,W005,3,3574.2,0.21,1
O00126,2024-12-09,C1336,P0101,W004,1,4364.96,0.12,13
O00127,2025-01-18,C1574,P0191,W001,4,18510.75,0.2,5
O00128,2025-05-19,C1805,P0473,W004,10,51517.71,0.1,4
O00129,2024-09-20,C4965,P0489,W004,3,15105.09,0.07,3
O00130,2026-05-22,C3804,P0002,W003,7,18469.42,0.2,12
O00131,2026-03-04,C3362,P0273,W003,9,47134.4,0.07,15
O00132,2024-11-13,C1329,P0475,W004,8,11890.05,0.17,1
O00133,2025-03-31,C1703,P0486,W001,9,42520.79,0.1,12
O00134,2025-09-08,C0658,P0011,W003,2,11707.59,0.21,2
O00135,2024-09-01,C0804,P0221,W001,7,41885.41,0.07,7
O00136,2025-11-14,C4359,P0359,W002,9,35546.18,0.24,3
O00137,2026-03-10,C4910,P0411,W004,2,1450.66,0.15,5
O00138,2025-03-10,C0654,P0255,W003,1,4801.56,0.21,9
O00139,2026-02-04,C1415,P0291,W005,1,5921.88,0.04,6
O00140,2025-09-26,C0131,P0066,W003,5,18233.19,0.17,1
O00141,2025-07-06,C0791,P0092,W004,4,11803.03,0.19,9
O00142,2025-10-01,C1151,P0073,W002,8,13456.99,0.24,10
O00143,2026-01-31,C2789,P0094,W003,3,12903.92,0.12,5
O00144,2024-10-23,C4819,P0303,W004,5,10553.41,0.09,11
O00145,2025-12-29,C3001,P0263,W003,5,13405.4,0.2,11
O00146,2024-10-08,C2294,P0314,W001,10,46920.72,0.23,9
O00147,2025-12-07,C0678,P0064,W004,1,1648.66,0.15,7
O00148,2026-05-02,C1228,P0007,W001,5,34410.76,0.17,12
O00149,2025-01-18,C0646,P0119,W001,2,905.6,0.19,3
O00150,2024-09-21,C3996,P0240,W004,5,16434.64,0.18,12
O00151,2024-11-19,C2528,P0423,W001,3,13214.9,0.01,1
O00152,2024-12-29,C3368,P0264,W004,2,2431.02,0.15,14
O00153,2026-06-04,C0127,P0106,W002,10,48819.32,0.03,6
O00154,2025-02-24,C3801,P0115,W004,2,2955.17,0.11,15
O00155,2024-10-07,C0858,P0328,W004,2,983.85,0.13,11
O00156,2025-07-24,C4964,P0192,W003,3,10125.12,0.0,6
O00157,2025-12-11,C0665,P0063,W003,2,1772.21,0.2,10
O00158,2025-05-17,C0186,P0459,W004,9,55494.8,0.11,8
O00159,2024-08-04,C4182,P0489,W005,2,8337.58,0.23,12
O00160,2025-07-21,C0883,P0340,W003,1,2716.38,0.04,6
O00161,2025-10-03,C2289,P0342,W005,4,2184.73,0.24,8
O00162,2025-12-07,C2427,P0307,W002,1,240.72,0.24,15
O00163,2024-12-04,C0424,P0462,W002,9,21762.76,0.19,1
O00164,2025-01-31,C0675,P0251,W004,7,39312.48,0.11,7
O00165,2025-05-24,C2665,P0330,W004,10,28404.64,0.22,5
O00166,2026-04-28,C2992,P0161,W002,9,48207.03,0.02,6
O00167,2025-07-17,C2551,P0453,W004,8,54568.63,0.13,13
O00168,2024-11-23,C2886,P0458,W003,7,17841.82,0.23,10
O00169,2025-07-07,C3632,P0265,W005,8,29873.97,0.23,6
O00170,2026-04-23,C4190,P0494,W005,10,65706.28,0.21,6
O00171,2026-03-20,C4037,P0367,W003,6,12988.45,0.19,13
O00172,2025-05-12,C4269,P0072,W002,5,19825.21,0.13,13
O00173,2025-11-28,C2377,P0188,W004,5,14871.69,0.17,5
O00174,2024-08-11,C0827,P0333,W001,1,1193.09,0.16,2
O00175,2025-04-08,C4359,P0180,W003,4,6912.43,0.13,9
O00176,2024-12-15,C0141,P0240,W004,3,10101.29,0.16,15
O00177,2024-12-11,C4542,P0400,W005,3,10315.72,0.03,4
O00178,2025-07-09,C3803,P0152,W001,9,14475.96,0.21,8
O00179,2026-03-19,C4675,P0077,W003,4,15851.93,0.03,7
O00180,2025-10-22,C0641,P0246,W001,10,22928.78,0.07,7
O00181,2025-01-09,C0738,P0106,W001,9,39407.76,0.13,3
O00182,2025-07-05,C3230,P0181,W001,8,8833.36,0.11,7
O00183,2025-04-09,C2130,P0359,W003,1,4885.0,0.06,5
O00184,2024-09-24,C1783,P0205,W002,2,9147.21,0.15,11
O00185,2026-01-08,C1230,P0168,W005,2,7252.93,0.16,2
O00186,2025-01-05,C2968,P0331,W005,1,6738.58,0.1,7
O00187,2025-05-07,C0091,P0231,W002,7,36725.47,0.2,7
O00188,2025-05-17,C0520,P0122,W001,9,34786.62,0.09,4
O00189,2026-01-19,C4370,P0236,W005,9,33883.56,0.0,8
O00190,2025-11-20,C4381,P0222,W001,7,3350.85,0.21,5
O00191,2026-03-18,C0047,P0423,W005,5,21579.88,0.03,2
O00192,2026-06-07,C0161,P0176,W004,5,25068.24,0.23,10
O00193,2025-10-01,C4939,P0299,W002,6,24154.94,0.14,7
O00194,2024-08-04,C2872,P0378,W005,9,29118.5,0.15,4
O00195,2024-12-24,C1602,P0242,W004,9,25416.82,0.24,13
O00196,2025-06-26,C4405,P0360,W002,2,9594.01,0.04,4
O00197,2024-10-03,C0233,P0440,W001,10,46725.72,0.01,5
O00198,2025-02-20,C1242,P0299,W002,10,40726.35,0.13,4
O00199,2026-04-14,C4181,P0200,W003,4,1343.33,0.16,9
O00200,2025-02-25,C0702,P0252,W004,5,11488.58,0.22,3
O00201,2025-06-27,C2754,P0491,W001,3,10973.91,0.1,10
O00202,2024-11-14,C3898,P0322,W002,4,19275.34,0.19,9
O00203,2025-06-30,C2193,P0066,W005,5,17134.81,0.22,7
O00204,2026-05-03,C4671,P0288,W002,5,10589.72,0.07,7
O00205,2025-07-08,C3534,P0275,W005,4,21284.38,0.12,6
O00206,2025-04-17,C3804,P0124,W001,9,27364.51,0.15,12
O00207,2025-04-22,C1161,P0370,W003,9,16947.32,0.11,5
O00208,2025-01-24,C1570,P0248,W003,10,43985.76,0.2,2
O00209,2025-10-26,C4074,P0309,W001,8,35283.83,0.09,4
O00210,2026-03-01,C2776,P0377,W001,7,3353.89,0.16,8
O00211,2025-04-28,C2661,P0434,W005,1,5907.88,0.09,13
O00212,2024-11-14,C1965,P0178,W003,3,22269.62,0.02,12
O00213,2025-01-30,C3052,P0376,W005,9,27964.98,0.03,5
O00214,2026-04-01,C4397,P0079,W005,9,72667.43,0.08,6
O00215,2024-11-21,C1087,P0317,W002,6,32815.62,0.12,2
O00216,2025-01-30,C2460,P0331,W001,2,14974.62,0.0,9
O00217,2024-09-21,C4634,P0273,W002,1,4674.02,0.17,1
O00218,2025-06-26,C0522,P0066,W005,4,16871.19,0.04,1
O00219,2025-10-24,C1282,P0079,W003,1,8512.97,0.03,6
O00220,2025-08-23,C3616,P0281,W004,7,35660.73,0.19,9
O00221,2025-11-25,C1180,P0182,W004,3,6239.28,0.11,11
O00222,2025-11-07,C4128,P0214,W005,10,34765.82,0.04,5
O00223,2025-08-18,C1387,P0353,W005,5,5706.08,0.06,7
O00224,2026-02-05,C3135,P0189,W005,5,23644.72,0.22,5
O00225,2025-03-26,C4008,P0082,W002,3,17987.52,0.05,5
O00226,2026-02-09,C0232,P0455,W001,7,25841.86,0.25,9
O00227,2025-10-27,C1670,P0295,W002,2,8130.02,0.16,10
O00228,2024-08-07,C1356,P0207,W001,10,57262.52,0.07,11
O00229,2025-11-02,C4557,P0445,W004,10,48579.68,0.2,7
O00230,2025-11-14,C2435,P0079,W002,9,71087.71,0.1,9
O00231,2026-03-24,C1947,P0332,W005,1,3711.03,0.07,15
O00232,2026-03-31,C3618,P0190,W002,5,21274.27,0.17,4
O00233,2026-03-25,C0606,P0167,W004,6,14192.54,0.2,8
O00234,2025-01-27,C1938,P0063,W005,7,6745.47,0.13,10
O00235,2024-08-22,C0919,P0405,W001,4,3574.13,0.11,15
O00236,2025-11-17,C4617,P0160,W005,10,27559.52,0.2,2
O00237,2025-07-26,C4868,P0033,W004,4,3135.51,0.12,12
O00238,2026-05-19,C1709,P0182,W005,8,14581.69,0.22,10
O00239,2025-09-06,C1864,P0034,W001,3,15148.81,0.13,10
O00240,2025-05-28,C1184,P0277,W004,2,6771.79,0.17,10
O00241,2024-10-10,C3922,P0109,W005,8,15731.65,0.12,10
O00242,2024-12-19,C0459,P0197,W004,3,7754.17,0.04,12
O00243,2026-06-06,C4489,P0404,W004,10,27411.82,0.12,4
O00244,2026-04-29,C4346,P0120,W003,3,8506.66,0.21,11
O00245,2024-08-26,C4525,P0439,W005,4,6433.48,0.09,6
O00246,2024-12-23,C1797,P0120,W002,8,28427.34,0.01,10
O00247,2025-06-24,C0170,P0094,W003,2,7820.56,0.2,7
O00248,2026-06-06,C1767,P0441,W003,4,12417.19,0.21,3
O00249,2025-01-19,C1425,P0380,W004,8,40727.65,0.01,12
O00250,2024-06-27,C4469,P0134,W001,3,15007.08,0.02,15
O00251,2026-02-21,C2603,P0016,W001,3,8865.45,0.07,8
O00252,2025-09-22,C2223,P0469,W003,9,25036.58,0.18,5
O00253,2025-02-06,C0206,P0346,W005,7,5478.23,0.11,4
O00254,2025-04-17,C4101,P0100,W004,6,5176.19,0.09,9
O00255,2024-09-17,C0250,P0332,W003,7,24021.91,0.14,7
O00256,2026-02-06,C2596,P0013,W005,7,16296.69,0.09,15
O00257,2025-02-05,C2662,P0341,W003,6,6475.59,0.16,14
O00258,2025-03-25,C4277,P0451,W004,2,7219.59,0.01,1
O00259,2024-08-08,C4671,P0092,W003,5,15482.37,0.15,15
O00260,2025-06-28,C3002,P0119,W002,5,2124.24,0.24,14
O00261,2025-12-01,C1889,P0067,W001,2,8676.97,0.22,6
O00262,2025-04-11,C2061,P0457,W004,8,3420.14,0.09,5
O00263,2024-12-23,C0265,P0145,W005,5,24343.28,0.2,1
O00264,2025-10-20,C4127,P0326,W002,9,24793.52,0.04,5
O00265,2026-01-24,C4808,P0092,W003,6,17923.12,0.18,4
O00266,2025-06-09,C1274,P0085,W004,9,35255.9,0.09,12
O00267,2025-05-18,C2752,P0252,W002,3,7423.39,0.16,7
O00268,2025-10-20,C2115,P0078,W004,10,69118.69,0.09,15
O00269,2025-04-03,C4398,P0454,W004,3,16151.69,0.06,8
O00270,2026-03-19,C1026,P0107,W003,1,3130.1,0.1,12
O00271,2024-07-18,C1538,P0375,W005,5,23139.38,0.08,15
O00272,2024-12-29,C1829,P0132,W005,3,14061.62,0.22,1
O00273,2025-10-09,C4281,P0242,W005,1,3492.96,0.06,2
O00274,2025-05-15,C1516,P0155,W003,9,47660.23,0.04,11
O00275,2026-01-04,C0989,P0399,W004,2,2773.17,0.22,4
O00276,2024-11-24,C3313,P0499,W002,1,2453.25,0.14,5
O00277,2026-05-22,C0466,P0365,W002,4,5474.04,0.25,5
O00278,2025-04-05,C3908,P0267,W004,6,9982.91,0.21,3
O00279,2024-07-23,C1611,P0177,W005,3,15086.49,0.1,5
O00280,2026-04-17,C1640,P0318,W003,1,4270.53,0.22,6
O00281,2026-03-28,C2130,P0364,W005,8,43837.76,0.2,15
O00282,2024-11-15,C0120,P0095,W002,7,8587.86,0.07,13
O00283,2025-03-30,C0008,P0095,W001,4,4379.68,0.17,13
O00284,2025-02-21,C2801,P0473,W004,2,10074.57,0.12,1
O00285,2024-07-01,C0552,P0098,W003,5,23145.67,0.12,2
O00286,2026-06-01,C0793,P0286,W004,1,6078.46,0.17,9
O00287,2024-12-12,C1093,P0139,W003,1,641.47,0.25,6
O00288,2026-04-20,C4924,P0404,W002,10,23362.35,0.25,4
O00289,2024-09-27,C3662,P0053,W003,9,23335.3,0.16,9
O00290,2024-11-15,C1643,P0399,W005,10,15821.26,0.11,6
O00291,2024-12-26,C3825,P0385,W005,8,20354.12,0.23,3
O00292,2024-12-09,C2366,P0054,W004,8,36106.2,0.25,9
O00293,2024-06-29,C0234,P0364,W005,4,24658.74,0.1,11
O00294,2024-12-20,C2166,P0445,W001,4,19674.77,0.19,4
O00295,2026-02-21,C3879,P0051,W005,3,3086.77,0.07,12
O00296,2024-08-07,C0168,P0088,W003,3,17784.7,0.03,12
O00297,2026-03-10,C3618,P0336,W004,1,3886.68,0.23,4
O00298,2026-05-25,C1694,P0329,W005,9,39650.18,0.03,6
O00299,2025-07-04,C0769,P0375,W003,2,8350.3,0.17,12
O00300,2025-04-26,C4635,P0361,W003,5,6352.21,0.09,13
O00301,2026-01-08,C4161,P0412,W001,4,18268.36,0.07,8
O00302,2026-03-22,C1427,P0108,W002,3,5147.12,0.06,11
O00303,2025-05-08,C1657,P0097,W002,10,13876.11,0.02,1
O00304,2024-06-14,C0740,P0029,W004,5,6760.21,0.08,4
O00305,2026-04-30,C0759,P0173,W005,10,21005.63,0.22,2
O00306,2025-08-12,C4233,P0018,W002,9,6971.76,0.05,9
O00307,2024-11-07,C3632,P0067,W005,9,47556.47,0.05,3
O00308,2025-07-05,C2531,P0458,W005,3,7547.19,0.24,12
O00309,2024-12-02,C0923,P0417,W001,8,20128.89,0.02,12
O00310,2026-04-20,C3167,P0138,W004,1,1573.6,0.08,11
O00311,2025-06-12,C2989,P0478,W003,4,14034.01,0.24,12
O00312,2026-02-09,C3050,P0040,W005,10,12086.45,0.21,5
O00313,2025-05-18,C1209,P0048,W001,9,31339.91,0.03,7
O00314,2024-12-25,C1287,P0034,W005,4,20198.41,0.13,6
O00315,2025-08-15,C0604,P0216,W002,10,32585.93,0.25,12
O00316,2025-11-06,C4292,P0067,W001,1,5395.3,0.03,1
O00317,2026-01-31,C4994,P0123,W002,9,6469.0,0.25,3
O00318,2025-07-01,C3865,P0489,W002,2,9312.1,0.14,13
O00319,2026-03-06,C3555,P0151,W004,1,1248.53,0.16,3
O00320,2026-02-12,C4626,P0220,W004,2,10152.08,0.05,6
O00321,2025-03-17,C0153,P0500,W005,8,4416.5,0.06,14
O00322,2025-06-18,C0863,P0055,W001,4,4895.12,0.04,14
O00323,2025-06-30,C3787,P0141,W005,8,58169.63,0.01,11
O00324,2025-07-29,C2117,P0374,W001,9,16506.48,0.14,14
O00325,2024-06-12,C4376,P0096,W003,6,2180.41,0.23,9
O00326,2025-06-21,C0808,P0174,W003,1,1591.48,0.22,12
O00327,2026-02-08,C2519,P0495,W003,2,5380.19,0.11,14
O00328,2025-03-16,C1114,P0295,W002,8,35617.25,0.08,14
O00329,2025-03-05,C2389,P0324,W001,5,29755.64,0.11,14
O00330,2025-12-17,C2012,P0494,W005,6,43915.08,0.12,2
O00331,2024-08-16,C1420,P0318,W002,1,5146.54,0.06,2
O00332,2026-01-23,C0416,P0388,W005,4,4062.94,0.18,10
O00333,2024-08-12,C2444,P0270,W003,5,30207.55,0.03,10
O00334,2026-04-02,C0359,P0299,W005,8,31832.09,0.15,4
O00335,2025-01-28,C0118,P0207,W002,8,38421.3,0.22,2
O00336,2025-11-06,C0553,P0389,W003,8,26083.12,0.06,1
O00337,2026-04-13,C2847,P0235,W004,7,39725.87,0.22,2
O00338,2026-05-18,C0620,P0055,W005,2,2116.12,0.17,4
O00339,2024-07-01,C2513,P0430,W005,7,54370.97,0.13,6
O00340,2025-04-11,C1157,P0165,W005,3,7802.7,0.04,9
O00341,2025-12-07,C3189,P0244,W002,3,7353.43,0.15,7
O00342,2025-01-10,C2583,P0273,W002,4,20723.37,0.08,7
O00343,2024-12-24,C3457,P0234,W004,4,26729.2,0.07,15
O00344,2026-02-21,C4245,P0469,W002,10,27818.42,0.18,14
O00345,2025-09-24,C2891,P0355,W001,1,4870.95,0.23,2
O00346,2025-02-15,C3971,P0027,W005,4,19139.01,0.21,4
O00347,2024-08-01,C2311,P0349,W003,7,39841.94,0.21,8
O00348,2025-06-17,C3037,P0219,W003,4,18525.4,0.13,2
O00349,2024-08-08,C4174,P0116,W003,8,36127.31,0.11,5
O00350,2025-12-16,C0317,P0495,W003,10,25994.19,0.14,9
O00351,2025-01-23,C2459,P0410,W001,9,44921.56,0.24,15
O00352,2025-02-14,C1905,P0004,W002,4,14071.31,0.16,1
O00353,2026-04-21,C0876,P0335,W005,9,27144.23,0.01,2
O00354,2024-08-24,C3708,P0302,W003,3,1989.92,0.18,3
O00355,2024-07-27,C2388,P0123,W004,9,7159.02,0.17,1
O00356,2026-03-24,C1342,P0390,W001,7,26932.92,0.21,9
O00357,2026-05-11,C2351,P0429,W005,10,6925.99,0.07,8
O00358,2025-12-19,C0471,P0180,W001,1,1827.42,0.08,15
O00359,2025-10-13,C3167,P0091,W002,7,13702.48,0.14,15
O00360,2025-08-26,C1425,P0244,W005,10,24799.82,0.14,14
O00361,2025-05-01,C2496,P0198,W004,10,54438.7,0.05,11
O00362,2024-06-17,C2432,P0213,W001,5,20158.13,0.04,8
O00363,2025-10-09,C3905,P0149,W005,10,29016.71,0.16,4
O00364,2026-05-19,C2999,P0224,W003,7,23572.03,0.14,4
O00365,2024-09-14,C3239,P0031,W001,7,6091.66,0.1,4
O00366,2026-03-29,C0658,P0041,W004,4,6430.54,0.21,15
O00367,2024-10-07,C1420,P0366,W003,9,46309.45,0.07,12
O00368,2025-09-23,C2492,P0383,W004,10,75132.26,0.08,12
O00369,2025-08-21,C3440,P0094,W001,3,11730.84,0.2,10
O00370,2026-03-21,C3755,P0195,W004,10,36416.47,0.09,12
O00371,2025-02-09,C0915,P0071,W001,3,13661.26,0.12,5
O00372,2025-03-27,C4620,P0053,W003,4,10371.24,0.16,11
O00373,2026-03-09,C1886,P0063,W002,6,6313.49,0.05,10
O00374,2024-06-14,C1234,P0033,W004,2,1425.23,0.2,15
O00375,2025-11-12,C1470,P0341,W002,4,3957.31,0.23,9
O00376,2024-12-20,C2514,P0079,W002,4,32296.64,0.08,14
O00377,2025-09-03,C2903,P0466,W002,1,1125.5,0.11,11
O00378,2025-06-02,C4803,P0188,W005,9,25801.49,0.2,7
O00379,2025-11-23,C3241,P0061,W001,7,19042.85,0.16,10
O00380,2025-06-28,C1266,P0210,W003,9,35306.88,0.17,11
O00381,2025-10-14,C3225,P0435,W001,3,1838.78,0.2,7
O00382,2025-12-09,C4805,P0030,W002,6,17655.08,0.18,15
O00383,2026-02-03,C0721,P0471,W004,10,67229.28,0.1,3
O00384,2025-05-07,C2206,P0499,W005,2,4792.4,0.16,12
O00385,2026-05-18,C1919,P0480,W001,10,18444.53,0.21,9
O00386,2025-02-11,C2649,P0233,W004,5,27935.04,0.14,8
O00387,2024-11-25,C1020,P0478,W001,9,36977.76,0.11,12
O00388,2024-08-04,C0823,P0005,W005,6,8753.0,0.17,14
O00389,2024-09-05,C2576,P0191,W004,10,46276.88,0.2,15
O00390,2026-04-17,C3675,P0087,W003,5,9581.22,0.02,4
O00391,2026-03-03,C0534,P0242,W002,3,10701.82,0.04,9
O00392,2026-05-12,C2164,P0006,W004,3,8778.63,0.14,8
O00393,2025-04-20,C2553,P0096,W003,9,3440.52,0.19,6
O00394,2025-05-22,C1406,P0110,W003,9,15401.46,0.05,9
O00395,2025-11-26,C2053,P0188,W005,3,9353.04,0.13,4
O00396,2025-12-25,C4115,P0287,W005,10,70604.43,0.06,15
O00397,2025-12-14,C1299,P0391,W002,10,69784.2,0.1,13
